"","3093HepFr","Gran532","3082Cit4C","NKpan1879","3045EDTAFr","NK8m2626","3021Cit4C","Tpan1754","3159EDTAFr","Th1702","Tc2615","NK16p2288","3082EDTARt","3676","2290","3045Cit4C","B1869","3451","Mono1972","3045EDTARt","NK8p2620","3675","3021CitFr","NKpan2241","Neut1148","Baso1832","Tc2637","3045EDTA4C","NKT2574","NK8m2299","2745","3696","3177EDTA80","Neut1145","3619","NK16p2590","3021EDTAFr","3082Cit80","3177HepFr","Mono1775","NK8p2621","3159HepFr","3268","3082EDTA4C","B2005","3159Hep80","NK16p2594","NKT2584","3177EDTAFr","Bpen","Treg2169","3093EDTA80","3159Hep4C","3093Hep80","3272","3082EDTA80","3177Cit80","B1681","3019","NK16m2608","2563","3082Hep80","NK16m2640","3093CitFr","Baso2477","Gpen","3045CitRt","Th2535","3093EDTAFr","Th1831","3093Cit80","Baso1915","3169","3159EDTARt","3093EDTARt","Th2611","NKT2613","NK8p2619","NKpan1850","NK16m2606","NK16m2578","Th2546","3021EDTA4C","Eos2272","3289","Tc1547","3082CitFr","NK16p2297","3159CitFr","3082EDTAFr","3045HepRt","3159Cit4C","NK8m4229","Baso1889","Eos2063","3021Hep80","3697","Gran1146","3682","3021HepRt","2120","STpen","3357","Treg2169","Gosis","3177CitFr","Treg1782","3685","3045HepFr","Tpan2294","NK8m2641","3221","3093HepRt","Tc2636","2367","3082Hep4C","Tpan1779","NormMix","3177Hep80","Mosis","3177HepRt","Neut2270","3045Cit80","2130","3045EDTA80","B1690","Neut0612","Tpan1612","3021CitRt","2806","Eos2275","NKT2572","Neut1147","Mono2639","3177EDTA4C","B1877","3021Cit80","3159EDTA80","3045CitFr","3396","NK8p2623","NKT2616","2570","3398","3159HepRt","2240","3699","3045Hep80","MTpen","3234","NKpan1869","3177CitRt","Gran1149","NK8m2631","3082HepRt","3177EDTARt","Tc2007","3159CitRt","Mono1993","3093Cit4C","Eos2042","3093CitRt","NKpan2510","3266","Gran1150","3021EDTA80","Baso2492","NK8p2614","3159EDTA4C","NK16m2577","3177Hep4C","Tpan1795","3305","3045Hep4C","Mono1827","2899","3021HepFr","NKpan2503","3159Cit80","3021Hep4C","3093EDTA4C","3082HepFr","3566","Gran2271","2016","3386","3177Cit4C","3021EDTARt","3093Hep4C","NK16p2589","3082CitRt","Treg2280"
"cg02082571",0.7763625,0.4850296,0.661283,0.8253675,0.6186229,0.8872371,0.7054147,0.9553902,0.6210557,0.931316,0.946548,0.805464,0.7136791,0.7469282,0.6198854,0.6320004,0.7218309,0.4752861,0.4331793,0.655048,0.8926207,0.7737758,0.7008671,0.7980602,0.4506324,0.4988411,0.9510959,0.6383721,0.9325985,0.7368197,0.5903536,0.6957392,0.7447351,0.5246435,0.680123,0.8222116,0.7277179,0.6611859,0.7116737,0.4466366,0.8497066,0.65538,0.6886446,0.6699735,0.6899478,0.6121768,0.8312397,0.9307062,0.7422913,0.6192192,0.9419014,0.7663193,0.6558795,0.7671033,0.4745035,0.6796107,0.7522065,0.8306112,0.7285659,0.6997905,0.6173447,0.6816751,0.7053596,0.7757404,0.4151202,0.7923545,0.6311539,0.9546128,0.776526,0.9494045,0.7706697,0.4395763,0.7883043,0.7082248,0.791286,0.9540651,0.9575358,0.8913316,0.7098163,0.7003338,0.7002503,0.9696576,0.716168,0.5387833,0.6957411,0.9512987,0.7236562,0.7840627,0.6444763,0.6796175,0.6406674,0.6611987,0.8229603,0.4885438,0.513638,0.7270697,0.7189735,0.4442412,0.6270423,0.7406468,0.476492,0.5217965,0.578409,0.948581,0.5693611,0.742994,0.9630167,0.5368438,0.6385543,0.9391663,0.7621549,0.6349365,0.7899026,0.9615205,0.4825767,0.6886492,0.9408017,0.6476123,0.7728859,0.547758,0.7598756,0.3823792,0.6756698,0.6118795,0.6414725,0.5729116,0.5259151,0.9281036,0.7359468,0.6401306,0.6937854,0.9499545,0.3832778,0.4465724,0.735815,0.6011893,0.7285221,0.699623,0.6401525,0.7166061,0.8702897,0.9512825,0.6347596,0.6243647,0.6781535,0.6651522,0.5715553,0.6361257,0.5531079,0.6492863,0.7860542,0.750347,0.4304791,0.7285551,0.689365,0.8119764,0.9631582,0.6366411,0.5808702,0.7749727,0.6972072,0.7378092,0.7971134,0.5569723,0.5000947,0.7632889,0.5537723,0.8117272,0.6663115,0.7133338,0.7639503,0.9575611,0.7480813,0.6079663,0.4770779,0.7324102,0.7602308,0.7995658,0.6833041,0.7492855,0.7631655,0.6752815,0.7098909,0.4111597,0.6176065,0.4655492,0.7454796,0.6995068,0.7824077,0.7631375,0.6523009,0.9612144
"cg02212836",0.2464187,0.6447204,0.310176,0.1275283,0.4153515,0.1171286,0.3164537,0.07095806,0.3483993,0.04284326,0.05347842,0.08558215,0.2598387,0.3945172,0.4392843,0.4068381,0.02682661,0.5597201,0.03397129,0.368464,0.1514548,0.1494918,0.29463,0.1391217,0.724272,0.7399788,0.06029205,0.4236816,0.1432886,0.1860199,0.5308394,0.4525744,0.1990219,0.7356294,0.4546812,0.1529591,0.2924626,0.3306547,0.192556,0.03341122,0.1885971,0.3696928,0.287993,0.3454376,0.02765694,0.2229844,0.08496454,0.07786667,0.2317608,0.3329698,0.07565285,0.2695183,0.341715,0.1951637,0.5071433,0.3302939,0.2385392,0.02190724,0.3441948,0.09653649,0.4454495,0.3346784,0.08526666,0.2652191,0.7800948,0.1078723,0.3797501,0.04050119,0.2771915,0.03558611,0.2521252,0.7117369,0.4154645,0.3125094,0.2089469,0.053463,0.1403206,0.1581109,0.05938291,0.1012813,0.1469003,0.08596414,0.3362267,0.8088881,0.4937169,0.1169719,0.3699713,0.1796156,0.3366872,0.3381993,0.3838511,0.3686748,0.1565983,0.7506838,0.833484,0.289475,0.2934884,0.8086465,0.3814811,0.2295386,0.5976993,0.3085144,0.6232624,0.07789503,0.622838,0.208392,0.05645204,0.357627,0.3669254,0.04343734,0.153343,0.4587445,0.2214356,0.06781019,0.6196483,0.337476,0.04625162,0.2851141,0.2421873,0.2589493,0.1920436,0.7800931,0.3516382,0.4230895,0.4453205,0.02388688,0.7173388,0.07285977,0.254576,0.6251317,0.8360492,0.1151718,0.6584786,0.02971219,0.170309,0.03205099,0.3143676,0.3215156,0.3379705,0.1167767,0.1274045,0.1159623,0.4424984,0.3691024,0.3346213,0.4193301,0.4462188,0.309637,0.3265992,0.5002588,0.1265209,0.181556,0.7802702,0.1049514,0.3341306,0.2177099,0.1484105,0.2613923,0.07697877,0.2201988,0.9060286,0.1883861,0.09199675,0.4366361,0.6991284,0.2591759,0.7581292,0.1978465,0.2894622,0.08424996,0.1967863,0.07882188,0.3647622,0.4779321,0.0248216,0.2496417,0.3202627,0.1916687,0.2421547,0.2524606,0.2283776,0.303928,0.3786541,0.6201966,0.5720879,0.4118443,0.209584,0.234254,0.184453,0.138096,0.3538624,0.04471517
"cg02225847",0.07994726,0.03070197,0.05954533,0.03691365,0.07078483,0.05749872,0.1100788,0.2529044,0.07134011,0.1492313,0.1555645,0.03471903,0.06762286,0.09682786,0.04584804,0.06465957,0.02656198,0.04054854,0.02184352,0.077995,0.244053,0.188322,0.09248241,0.04270531,0.01929432,0.03100349,0.1576498,0.06217152,0.3069813,0.03673037,0.02937894,0.08641238,0.09018326,0.01705127,0.06001719,0.06411719,0.1096176,0.0508197,0.06487301,0.02100196,0.0943551,0.09029795,0.09343141,0.0636232,0.0254916,0.06067681,0.03400512,0.214865,0.07734617,0.06000327,0.2317397,0.08075203,0.06739687,0.08302797,0.05470893,0.05973651,0.08795041,0.02271677,0.1139614,0.03194163,0.04460284,0.05678501,0.02338635,0.0726243,0.02792799,0.08693516,0.06542653,0.171563,0.07955969,0.1387175,0.07792969,0.02346171,0.09574839,0.07734948,0.08307572,0.2443674,0.4664367,0.02828042,0.0354606,0.02712075,0.03697529,0.2725137,0.1252261,0.01759921,0.1129354,0.2668337,0.08880114,0.03700908,0.07213224,0.05763934,0.07453778,0.06928939,0.05373207,0.05051358,0.01857974,0.1008785,0.100252,0.01587648,0.06487355,0.1127705,0.02524504,0.03100375,0.01680569,0.2008084,0.04199894,0.07637401,0.2280787,0.06881757,0.05939779,0.1632074,0.03819457,0.09313563,0.07236627,0.1772277,0.04058846,0.05815991,0.1698282,0.05734256,0.1056238,0.04556215,0.0846098,0.01844377,0.05944061,0.08121546,0.0818231,0.0232034,0.02182046,0.2133406,0.1218186,0.03737038,0.01699601,0.3636472,0.01283006,0.0220811,0.06482722,0.02344767,0.08588991,0.06131763,0.06917938,0.07917265,0.03631414,0.367874,0.07737031,0.06640808,0.07797781,0.06533904,0.07155055,0.07538918,0.02874349,0.04344992,0.03955172,0.1042594,0.01658295,0.02602829,0.06072431,0.1104954,0.248414,0.06117253,0.02390402,0.08868926,0.01978744,0.07356798,0.02682929,0.05592037,0.01608015,0.1363125,0.01828945,0.04463654,0.06194408,0.02608632,0.09007969,0.1878369,0.08760201,0.08802082,0.02365914,0.106437,0.1162747,0.08996335,0.08058053,0.1342718,0.06606348,0.06675519,0.1019636,0.02942509,0.04870014,0.03774107,0.07986623,0.1352565,0.1120782,0.02947114,0.0650386,0.2205913
"cg02240622",0.8145168,0.4181826,0.7180749,0.9354672,0.6834547,0.9281215,0.8034292,0.9095069,0.6236314,0.9356736,0.959391,0.9464784,0.7708015,0.7069038,0.5873679,0.6824817,0.9520218,0.554618,0.3072614,0.6883854,0.9433405,0.860168,0.809631,0.9474804,0.3118156,0.3151228,0.9391836,0.6615116,0.9167207,0.949163,0.3442251,0.7337257,0.8235069,0.2676728,0.7714864,0.943882,0.7964213,0.7430394,0.8441822,0.3473221,0.9352655,0.6637528,0.7226435,0.752923,0.9526386,0.7076214,0.9450652,0.9250327,0.8465446,0.6785834,0.9463636,0.8009064,0.6946575,0.8132858,0.5816145,0.7531573,0.8466662,0.957664,0.7713515,0.9385191,0.5041291,0.7554952,0.9256809,0.7970154,0.2612308,0.8736784,0.6322091,0.9445179,0.8040312,0.9570809,0.8152069,0.1839834,0.7565011,0.723254,0.8278624,0.9564378,0.866818,0.9265277,0.9351617,0.9401354,0.9353464,0.9429312,0.7988082,0.2007797,0.5982259,0.9470591,0.7836847,0.9083119,0.6608818,0.714644,0.6856574,0.6837487,0.9350131,0.1775237,0.1403133,0.8144722,0.8052213,0.2654068,0.7448879,0.8250938,0.4210344,0.6255602,0.3638771,0.9559751,0.5805418,0.8532486,0.9479892,0.6295649,0.6692426,0.9579946,0.9250115,0.7259832,0.8405954,0.9589807,0.4101106,0.7660341,0.9565942,0.7225818,0.8553128,0.5595385,0.8512854,0.3115205,0.6894262,0.6397186,0.6945702,0.9587593,0.1980964,0.9400633,0.822535,0.6747507,0.1086257,0.943521,0.3001324,0.4916703,0.8585364,0.9442641,0.7554543,0.7341707,0.6815405,0.8131608,0.9399311,0.9409695,0.7138669,0.7159669,0.7403882,0.6447368,0.7005158,0.6766,0.6426576,0.5470452,0.9374734,0.8466283,0.2803403,0.9399077,0.777627,0.8509746,0.9462939,0.61884,0.4505282,0.8028222,0.1716983,0.8185647,0.9342469,0.5678084,0.2628866,0.8070871,0.2715664,0.94988,0.7008003,0.9523674,0.8427341,0.9593174,0.7303207,0.6841519,0.4238037,0.7719768,0.76079,0.9634928,0.6507896,0.784563,0.8027025,0.7244868,0.7611831,0.3432625,0.4047363,0.496588,0.8333052,0.7742671,0.7886443,0.934251,0.7738429,0.9502348
"cg02329886",0.9656157,0.9771766,0.9568183,0.9585829,0.9669004,0.9645292,0.9535617,0.9627936,0.9639219,0.9753877,0.9676344,0.9708891,0.9610696,0.9713026,0.9650142,0.9662208,0.972355,0.9689314,0.9771677,0.9671009,0.9721124,0.9637865,0.9588525,0.9621592,0.9747501,0.1449823,0.964254,0.9679119,0.964187,0.9701412,0.9677673,0.9646845,0.960512,0.9719995,0.9719291,0.9650542,0.9637429,0.966801,0.9624653,0.9617945,0.9705201,0.9668421,0.9694264,0.9531456,0.9683222,0.9647595,0.9756246,0.9533578,0.960967,0.9705614,0.9585745,0.9608309,0.9687399,0.9650493,0.9688771,0.9627697,0.9603912,0.9724929,0.9636236,0.9687732,0.971006,0.9656045,0.9696093,0.9583003,0.2929007,0.970017,0.9655825,0.9644498,0.9634863,0.9632153,0.9670511,0.07100213,0.9751692,0.966414,0.9617507,0.9752012,0.9512847,0.9627157,0.9647807,0.9675202,0.9722838,0.9669231,0.965174,0.9594468,0.9777766,0.9675688,0.9710005,0.9616258,0.9643955,0.9581719,0.9680631,0.967832,0.9673776,0.1000269,0.967294,0.9630576,0.9691871,0.9767852,0.966974,0.9634122,0.9723185,0.9753981,0.9604425,0.9712477,0.9765429,0.9637678,0.9679458,0.9645833,0.9698943,0.9687044,0.9610609,0.9737644,0.961551,0.9676721,0.9732164,0.9651871,0.9714656,0.9714677,0.9700746,0.9731848,0.9594743,0.97541,0.9677213,0.9689111,0.9733565,0.9632397,0.9794996,0.9733807,0.9621058,0.9795216,0.9643683,0.9613018,0.9740399,0.9753417,0.9582987,0.961172,0.9603578,0.968783,0.9730045,0.7458885,0.9757614,0.9597669,0.9704158,0.9702888,0.9718531,0.9702869,0.9666777,0.9648323,0.9735696,0.9738949,0.9588678,0.9673227,0.9799529,0.9547579,0.964686,0.9636418,0.9664315,0.9512023,0.9782146,0.965961,0.9609552,0.9564815,0.966264,0.9689778,0.9745823,0.9645642,0.2783261,0.9679353,0.966535,0.9737946,0.9619426,0.9685978,0.9675505,0.9682383,0.9810311,0.9655439,0.9525397,0.9798502,0.9715258,0.9603638,0.9673312,0.9523531,0.9635575,0.9080306,0.9725631,0.8916761,0.9552569,0.9268931,0.9629399,0.9451543,0.9650521,0.963183
"cg02473123",0.04874461,0.1552061,0.07228932,0.03151991,0.09420721,0.03209994,0.05428972,0.02894491,0.06000736,0.03053392,0.02559361,0.02820333,0.05314248,0.06956296,0.09102593,0.08108047,0.2146951,0.0899744,0.2349468,0.06197654,0.0328724,0.05079271,0.04781063,0.03268683,0.212026,0.1806952,0.02629704,0.06256068,0.0290197,0.0364951,0.1272213,0.06553394,0.05014649,0.219396,0.07422349,0.02525915,0.04884092,0.05476921,0.02155786,0.2287458,0.03491812,0.06979529,0.07102612,0.05828896,0.1806923,0.04664183,0.02447289,0.03371347,0.05673877,0.05056714,0.03280988,0.04981427,0.07592053,0.05189691,0.07111425,0.06123572,0.05730008,0.1471094,0.07286455,0.04838724,0.1015527,0.05014056,0.04359789,0.0571874,0.2435646,0.06649682,0.06925642,0.03041613,0.05549607,0.02645672,0.0479966,0.2023065,0.05317498,0.04600564,0.04433737,0.03171172,0.03903098,0.03022357,0.03400049,0.04155374,0.04463957,0.02976186,0.05330354,0.2105704,0.152067,0.027742,0.08448139,0.03764791,0.06280427,0.06333815,0.04925694,0.07499688,0.03519421,0.2189981,0.131207,0.05678488,0.06110712,0.2182584,0.06861446,0.04653168,0.0901869,0.07801357,0.1338732,0.0251602,0.08829471,0.04257074,0.02159233,0.05993202,0.06625676,0.02443972,0.03085488,0.05697415,0.04550366,0.02766063,0.08412603,0.05971926,0.0312367,0.05578991,0.05114639,0.08592019,0.0386327,0.1495298,0.1503746,0.05675368,0.06437144,0.2701749,0.2219978,0.03032514,0.05223355,0.09700126,0.2021916,0.02250929,0.1571509,0.1687237,0.04187104,0.1982743,0.05607857,0.05638966,0.06638642,0.03668887,0.03003449,0.01677487,0.06691594,0.06367674,0.04194904,0.06122462,0.06770663,0.07348388,0.07754549,0.1158449,0.03806664,0.04432814,0.2222189,0.03812415,0.05103775,0.04662908,0.02623792,0.05297019,0.1587467,0.04932147,0.2406998,0.04838951,0.03304475,0.07368477,0.200244,0.05288988,0.172019,0.02812874,0.05911945,0.04793392,0.0415961,0.03057474,0.06707897,0.0525251,0.2149584,0.05499798,0.05925704,0.03105373,0.07337211,0.04309816,0.05175138,0.05746888,0.05555277,0.2483815,0.1078876,0.07020283,0.03875114,0.0482957,0.03887239,0.0294498,0.065102,0.02592833
"cg02497428",0.9597875,0.9833394,0.9480525,0.9756176,0.9678677,0.9746017,0.9280183,0.9742203,0.9568586,0.9783927,0.9818471,0.9830471,0.9533277,0.9603839,0.9632449,0.9693723,0.9800239,0.9677039,0.5323371,0.9688698,0.9791255,0.9251941,0.931383,0.9821763,0.9712292,0.9795705,0.9759316,0.9661852,0.9519501,0.9705419,0.9624452,0.9689515,0.9470558,0.9837227,0.9579206,0.9804866,0.9310653,0.9525165,0.9594405,0.4408795,0.975081,0.95977,0.9643711,0.945568,0.9785987,0.9714566,0.9779528,0.9729573,0.9503218,0.949017,0.9773398,0.9518089,0.962014,0.9486632,0.9571521,0.9508136,0.9506037,0.9800651,0.9569377,0.9751857,0.930587,0.9519206,0.979259,0.9469615,0.9788464,0.9054407,0.9659733,0.9718705,0.9529545,0.9794951,0.9566125,0.9733464,0.9284182,0.9639858,0.958856,0.9771144,0.9544816,0.9773501,0.967015,0.9769429,0.9744802,0.9788175,0.9358411,0.9833749,0.9637232,0.9654384,0.9622242,0.9621565,0.9557372,0.944907,0.9661105,0.9621634,0.9741876,0.9484512,0.9865601,0.9341201,0.9626094,0.9846291,0.9516988,0.9294276,0.9489968,0.9529154,0.9494898,0.9789664,0.983504,0.9526684,0.9837532,0.9479082,0.9749212,0.9816275,0.9818018,0.9645107,0.958333,0.9771025,0.968474,0.9560201,0.9767442,0.9655982,0.9556592,0.9186649,0.9493163,0.9854835,0.9684312,0.9382577,0.9682552,0.9779195,0.9857095,0.9717343,0.9270365,0.9764799,0.9875088,0.9595388,0.9834921,0.6050491,0.9587427,0.9787059,0.9241824,0.9650171,0.9683059,0.9093033,0.9819487,0.9771857,0.9644918,0.9622077,0.9590116,0.9603577,0.9372887,0.9654375,0.951453,0.9571617,0.9716936,0.9572704,0.9865995,0.9776638,0.9602721,0.9555799,0.9778997,0.9498785,0.6723134,0.9488367,0.9859957,0.9465675,0.9794952,0.9671353,0.9832773,0.9409186,0.9661251,0.9799309,0.9656161,0.9821261,0.9506113,0.9765513,0.9417157,0.968127,0.3976495,0.9634424,0.9361803,0.9804636,0.9618595,0.9442611,0.9545615,0.9489006,0.951933,0.9400998,0.9554476,0.9375168,0.9501829,0.9295914,0.9535315,0.9648506,0.9566649,0.977182
"cg02512860",0.8710067,0.904156,0.9011458,0.9604141,0.8603073,0.9633246,0.8903698,0.9637034,0.8259271,0.9676416,0.9676451,0.972448,0.9101017,0.894704,0.8544965,0.8681281,0.7982085,0.799911,0.2992063,0.8543112,0.9655114,0.906548,0.8946806,0.9672611,0.904717,0.9057487,0.9709636,0.8533463,0.9557192,0.965891,0.7688515,0.8725846,0.9110497,0.8250813,0.8933374,0.9720885,0.8958732,0.8968399,0.9173945,0.312925,0.964022,0.8465004,0.8701608,0.8882626,0.8300781,0.8195613,0.9739115,0.9504502,0.9128969,0.8789406,0.9728801,0.8691784,0.8595108,0.8796383,0.8511127,0.9069206,0.9229908,0.687022,0.8777069,0.9547411,0.8667654,0.9019497,0.9600139,0.8683717,0.8258996,0.8898085,0.8470782,0.9695285,0.8800688,0.966215,0.8861256,0.8922318,0.877174,0.851087,0.875519,0.9697973,0.9520557,0.9685636,0.9582736,0.951976,0.9703069,0.9726314,0.914914,0.9451669,0.8731384,0.9579349,0.8896077,0.954246,0.8157849,0.8901387,0.8533905,0.8502593,0.9639717,0.9332037,0.9770083,0.9111183,0.9007281,0.7897906,0.876436,0.8864928,0.8597948,0.802785,0.6683487,0.9646204,0.8664212,0.8895218,0.9732709,0.7874948,0.8405755,0.9718966,0.9563915,0.8699839,0.8512836,0.9548129,0.8199143,0.9040439,0.9647741,0.8680336,0.9106675,0.8102717,0.9072803,0.835695,0.8271858,0.8475175,0.8302894,0.4246933,0.9093482,0.9497391,0.8825045,0.6020994,0.9645447,0.9549169,0.7660403,0.3429123,0.9071141,0.5621491,0.8806961,0.8402029,0.8448373,0.7552193,0.9687026,0.9747754,0.8882308,0.9091964,0.8396469,0.8571506,0.9136957,0.8482909,0.7965225,0.7797522,0.9616812,0.9078529,0.9027666,0.9444361,0.9015222,0.9048851,0.9659668,0.7944678,0.6147413,0.848915,0.972668,0.8346395,0.9639165,0.8380054,0.7750279,0.8917423,0.8504493,0.9542524,0.8175972,0.9560134,0.9017479,0.9688832,0.8884155,0.8004115,0.424129,0.8458279,0.8704082,0.9669572,0.8246787,0.8758869,0.8562315,0.8802949,0.8061016,0.7334947,0.8004168,0.6882205,0.8823003,0.8723509,0.8245609,0.9508512,0.8909844,0.9672041
"cg02600394",0.3169077,0.7053906,0.4626464,0.02317949,0.5555966,0.03162177,0.4762855,0.04178017,0.5452791,0.03341601,0.05713073,0.02739458,0.4003554,0.5433463,0.6011634,0.5438541,0.8676297,0.7237695,0.8801069,0.5333847,0.02961442,0.3663819,0.4270891,0.02418,0.8096696,0.7776896,0.05090769,0.5429838,0.08007562,0.03269739,0.597016,0.6820611,0.2884078,0.7448716,0.4410067,0.02820266,0.3851415,0.4657314,0.3145338,0.8510581,0.03483406,0.5449805,0.5934435,0.4550841,0.9047416,0.4677906,0.0176331,0.07841785,0.3000094,0.4555193,0.03992392,0.3070682,0.5200944,0.2975159,0.6834151,0.4344372,0.3053476,0.8668634,0.5226279,0.02455287,0.739785,0.4020521,0.02961902,0.3415087,0.8020123,0.2524584,0.5425186,0.03573071,0.3434893,0.0278726,0.3261819,0.7386598,0.5487552,0.4980231,0.2837288,0.04647885,0.1325274,0.02838649,0.03177655,0.02473467,0.02677555,0.03186035,0.4646687,0.789436,0.7002838,0.09372748,0.4330491,0.02693408,0.5102401,0.4400844,0.5580469,0.5477505,0.02838578,0.8923303,0.8063119,0.4096599,0.4344008,0.8412397,0.5945296,0.4514695,0.8209854,0.7169414,0.7820973,0.03360084,0.7018449,0.2827964,0.03178307,0.4674935,0.5402571,0.03860183,0.05471314,0.6959067,0.3026309,0.06164573,0.7594403,0.4416109,0.05107693,0.593408,0.3807972,0.6682008,0.2908191,0.6611538,0.5851486,0.7334,0.5816309,0.8490529,0.8743519,0.05890853,0.4516978,0.7676029,0.7489791,0.04996121,0.8316538,0.8962744,0.3633273,0.8843558,0.4758495,0.5215281,0.6024404,0.3118935,0.02397472,0.04928486,0.5659521,0.4794752,0.4777814,0.636342,0.5793601,0.607609,0.7402725,0.7054507,0.07192782,0.3152633,0.8396096,0.03986575,0.3911762,0.2721518,0.07380622,0.4718953,0.804822,0.2989709,0.8257118,0.334095,0.02358168,0.6387953,0.8522337,0.4546459,0.8434414,0.02261381,0.5522802,0.02484759,0.2770794,0.03940197,0.6201243,0.6262098,0.8985927,0.5009698,0.372676,0.02663468,0.5551798,0.4377624,0.3286459,0.4608726,0.5100004,0.6693601,0.7798304,0.5592937,0.3245876,0.3892746,0.3734547,0.02758992,0.4333276,0.04315324
"cg02635407",0.2650869,0.1393925,0.2107075,0.5833457,0.1707156,0.6459478,0.253429,0.5875372,0.1712072,0.4797739,0.7764652,0.7098789,0.2568897,0.2494496,0.1605023,0.1987667,0.0795987,0.1771256,0.1163395,0.1936192,0.7178174,0.3162906,0.2328523,0.5719613,0.09504951,0.1270107,0.5878869,0.1875975,0.7365721,0.6542036,0.120163,0.2934115,0.2735484,0.09312294,0.202208,0.6553355,0.2408178,0.218436,0.2569682,0.1512833,0.6696318,0.2243326,0.2234808,0.2276886,0.07373424,0.1921223,0.6539683,0.4756133,0.3073968,0.1986841,0.5756347,0.2628649,0.1807533,0.3097791,0.2117926,0.2378248,0.2931758,0.05726046,0.2640315,0.4583596,0.1418112,0.2255306,0.4673637,0.3055788,0.08920601,0.3316913,0.1770771,0.5942601,0.2700945,0.4776593,0.2627784,0.1199218,0.2943304,0.2160279,0.284854,0.669338,0.8025885,0.609669,0.6137558,0.4913471,0.485605,0.5980716,0.2954525,0.1051375,0.1535576,0.6058782,0.2012172,0.7189652,0.222863,0.2332121,0.1797582,0.1915724,0.5243333,0.1216684,0.06679323,0.2964052,0.2791809,0.1171515,0.2304411,0.3488016,0.130575,0.162242,0.1417446,0.5204036,0.1668819,0.2566113,0.5823831,0.1869591,0.1798902,0.4912664,0.5617907,0.2319205,0.3025223,0.6476785,0.1586794,0.2582769,0.5799428,0.1868376,0.2802825,0.1456938,0.2971972,0.1192035,0.1953888,0.2609891,0.2011033,0.0663629,0.1054083,0.4478649,0.3029236,0.1423627,0.08684816,0.6822463,0.09287006,0.1464762,0.3468435,0.09517917,0.2756076,0.2495934,0.2132748,0.2548276,0.6274081,0.7522858,0.2263785,0.1973133,0.2444836,0.2051832,0.2424216,0.2002533,0.1699064,0.1575327,0.5963127,0.2679113,0.09827558,0.5758591,0.2179402,0.3004199,0.7329521,0.2041107,0.09108216,0.3135437,0.1863026,0.2804195,0.5596501,0.1445167,0.09975327,0.3073852,0.1322555,0.5585523,0.1828709,0.4830942,0.2731565,0.5539224,0.2256196,0.2037346,0.1070195,0.2388324,0.3165974,0.6845879,0.1800738,0.2544454,0.2886765,0.2193778,0.2342292,0.1644948,0.09757186,0.1906987,0.2623677,0.2773978,0.297942,0.5461603,0.1951521,0.4958917
"cg02712878",0.2008431,0.129252,0.2627086,0.1175682,0.2246524,0.1468991,0.252584,0.4934849,0.2323575,0.452694,0.4938633,0.125054,0.2200792,0.2079798,0.1531405,0.2231406,0.1040455,0.1200836,0.06811369,0.2186095,0.1154042,0.2961138,0.2801452,0.1135059,0.1201247,0.07680857,0.4206993,0.2093033,0.5509961,0.1330294,0.124463,0.1743695,0.2360855,0.1375479,0.3081941,0.09392373,0.269576,0.216697,0.1965043,0.155326,0.1436613,0.2320721,0.1761325,0.216597,0.1757906,0.1650655,0.06262024,0.413007,0.2579726,0.2349005,0.6083971,0.1971202,0.1929112,0.203931,0.1700696,0.2041354,0.2499139,0.1223915,0.2296102,0.1431469,0.1820907,0.2182613,0.09298258,0.2083314,0.06719552,0.2906066,0.207734,0.5567609,0.2130908,0.5099918,0.199987,0.06832268,0.191427,0.2235308,0.207492,0.5553937,0.5998674,0.1272305,0.104744,0.1656404,0.1243182,0.5783663,0.276663,0.07978763,0.2726781,0.4267257,0.2389885,0.161898,0.2071565,0.2136845,0.2217217,0.2104435,0.1146761,0.1068759,0.05563221,0.2956767,0.2084542,0.1034678,0.1810369,0.258655,0.1556245,0.1874532,0.07691947,0.5340971,0.2174628,0.2270996,0.5328559,0.1974722,0.1867349,0.4943766,0.1342177,0.1920293,0.2060524,0.4588298,0.1763095,0.2514528,0.4463802,0.2590112,0.2310928,0.2318671,0.2327868,0.1318648,0.2343292,0.1950949,0.2478198,0.179798,0.1169327,0.4866983,0.2653151,0.1746627,0.04674619,0.4587001,0.1774202,0.1786605,0.2483258,0.1864954,0.2901586,0.2335109,0.2179228,0.2001235,0.1153059,0.4063281,0.2315571,0.2240449,0.2058636,0.1600822,0.1582696,0.2238786,0.1842214,0.1353556,0.1501722,0.2554607,0.1633696,0.1143736,0.2671435,0.2484182,0.4426596,0.1849039,0.06511582,0.2443444,0.1225608,0.2103259,0.09808879,0.206789,0.1822036,0.3318422,0.06521925,0.09087639,0.1956456,0.1148949,0.2256774,0.5481789,0.2303123,0.2293081,0.2125729,0.2681717,0.3495483,0.1144122,0.2049426,0.2980013,0.2052743,0.2205252,0.23975,0.1703942,0.1442486,0.1653967,0.2831221,0.2954324,0.2798761,0.133278,0.2635874,0.5630217
