PlateWell,SampleID,Details,SampleType,LabWork
P1C9,3177EDTA80,"EDA, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P1C10,Neut1145,Neutrophils,Purified WBC subtype,Wiencke isolation 2011/12
P1C11,3619,COHANDS,COHANDS blood,Kelsey Extraction
P1C12,NK16p2590,CD16+ NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P1D1,3021EDTAFr,"EDTA, Fresh",Profiled whole blood,Wiencke isolation 2012
P1D2,3082Cit80,"Citrate, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P1D3,3177HepFr,"Heparin, Fresh",Profiled whole blood,Wiencke isolation 2012
P1D4,Mono1775,Monocytes,Purified WBC subtype,Wiencke isolation 2011/12
P1D5,NK8p2621,CD8+ NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P1D6,3159HepFr,"Heparin, Fresh",Profiled whole blood,Wiencke isolation 2012
P1D7,3268,COHANDS,COHANDS blood,Kelsey Extraction
P1D8,3082EDTA4C,"EDTA, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P1D9,B2005,B-cells,Purified WBC subtype,Wiencke isolation 2011/12
P1D10,3159Hep80,"Heparin, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P1D11,NK16p2594,CD16+ NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P1D12,NKT2584,NKT cells,Purified WBC subtype,Kelsey isolation 2011/12
P1E1,3177EDTAFr,"EDTA, Fresh",Profiled whole blood,Wiencke isolation 2012
P1E2,Bpen,B-cell Lymphopenia,Reconstruction mixture,Kelsey mix May 2012
P1E3,Treg2169,Tregs,Purified WBC subtype,Wiencke isolation 2011/12
P1E4,3093EDTA80,"EDA, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P1E5,3159Hep4C,"Heparin, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P1E6,3093Hep80,"Heparin, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P1E7,3272,COHANDS,COHANDS blood,Kelsey Extraction
P1E8,3082EDTA80,"EDA, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P1E9,3177Cit80,"Citrate, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P1E10,B1681,B-cells,Purified WBC subtype,Wiencke isolation 2011/12
P1E11,3019,COHANDS,COHANDS blood,Kelsey Extraction
P1E12,NK16m2608,CD16- NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P1F1,2563,COHANDS,COHANDS blood,Kelsey Extraction
P1F2,3082Hep80,"Heparin, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P1F3,NK16m2640,CD16- NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P1F4,3093CitFr,"Citrate, Fresh",Profiled whole blood,Wiencke isolation 2012
P1F5,Baso2477,Basophils,Purified WBC subtype,Kelsey isolation 2011/12
P1F6,Gpen,Granulocytopenia,Reconstruction mixture,Kelsey mix May 2012
P1F7,3045CitRt,"Citrate, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P1F8,Th2535,CD4+ T-cells,Purified WBC subtype,Kelsey isolation 2011/12
P1F9,3093EDTAFr,"EDTA, Fresh",Profiled whole blood,Wiencke isolation 2012
P1F10,Th1831,CD4+ T-cells,Purified WBC subtype,Wiencke isolation 2011/12
P1F11,3093Cit80,"Citrate, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P1F12,Baso1915,Basophils,Purified WBC subtype,Kelsey isolation 2011/12
P1G1,3169,COHANDS,COHANDS blood,Kelsey Extraction
P1G2,3159EDTARt,"EDTA, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P1G3,3093EDTARt,"EDTA, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P1G4,Th2611,CD4+ T-cells,Purified WBC subtype,Kelsey isolation 2011/12
P1G5,NKT2613,NKT cells,Purified WBC subtype,Kelsey isolation 2011/12
P1G6,NK8p2619,CD8+ NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P1G7,NKpan1850,Pan-NK cells,Purified WBC subtype,Wiencke isolation 2011/12
P1G8,NK16m2606,CD16- NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P1G9,NK16m2578,CD16- NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P1G10,Th2546,CD4+ T-cells,Purified WBC subtype,Kelsey isolation 2011/12
P1G11,3021EDTA4C,"EDTA, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P1G12,Eos2272,Eosinophils,Purified WBC subtype,Kelsey isolation 2011/12
P1H1,3289,COHANDS,COHANDS blood,Kelsey Extraction
P1H2,Tc1547,CD8+ T-cells,Purified WBC subtype,Wiencke isolation 2011/12
P1H3,3082CitFr,"Citrate, Fresh",Profiled whole blood,Wiencke isolation 2012
P1H4,NK16p2297,CD16+ NK cells,Purified WBC subtype,Wiencke isolation 2011/12
P1H5,3159CitFr,"Citrate, Fresh",Profiled whole blood,Wiencke isolation 2012
P1H6,3082EDTAFr,"EDTA, Fresh",Profiled whole blood,Wiencke isolation 2012
P1H7,3045HepRt,"Heparin, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P1H8,3159Cit4C,"Citrate, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P1H9,NK8m4229,CD8- NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P1H10,Baso1889,Basophils,Purified WBC subtype,Kelsey isolation 2011/12
P1H11,Eos2063,Eosinophils,Purified WBC subtype,Kelsey isolation 2011/12
P1H12,3021Hep80,"Heparin, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P2A1,3697,COHANDS,COHANDS blood,Kelsey Extraction
P2A2,Gran1146,Granulocytes,Purified WBC subtype,Wiencke isolation 2011/12
P2A3,3682,COHANDS,COHANDS blood,Kelsey Extraction
P2A4,3021HepRt,"Heparin, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P2A5,2120,COHANDS,COHANDS blood,Kelsey Extraction
P2A6,STpen,Severe T-cell Lymphopenia,Reconstruction mixture,Kelsey mix May 2012
P2A7,3357,COHANDS,COHANDS blood,Kelsey Extraction
P2A8,Treg2169,Tregs,Purified WBC subtype,Kelsey isolation 2011/12
P2A9,Gosis,Granulocytosis,Reconstruction mixture,Kelsey mix May 2012
P2A10,3177CitFr,"Citrate, Fresh",Profiled whole blood,Wiencke isolation 2012
P2A11,Treg1782,Tregs,Purified WBC subtype,Wiencke isolation 2011/12
P2A12,3685,COHANDS,COHANDS blood,Kelsey Extraction
P2B1,3045HepFr,"Heparin, Fresh",Profiled whole blood,Wiencke isolation 2012
P2B2,Tpan2294,Pan-T cells,Purified WBC subtype,Kelsey isolation 2011/12
P2B3,NK8m2641,CD8- NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P2B4,3221,COHANDS,COHANDS blood,Kelsey Extraction
P2B5,3093HepRt,"Heparin, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P2B6,Tc2636,CD8+ T-cells,Purified WBC subtype,Kelsey isolation 2011/12
P2B7,2367,COHANDS,COHANDS blood,Kelsey Extraction
P2B8,3082Hep4C,"Heparin, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P2B9,Tpan1779,Pan-T cells,Purified WBC subtype,Wiencke isolation 2011/12
P2B10,NormMix,Normal Reconstruction mixture,Reconstruction mixture,Kelsey mix May 2012
P2B11,3177Hep80,"Heparin, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P2B12,Mosis,Monocytosis,Reconstruction mixture,Kelsey mix May 2012
P2C1,3177HepRt,"Heparin, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P2C2,Neut2270,Neutrophils,Purified WBC subtype,Kelsey isolation 2011/12
P2C3,3045Cit80,"Citrate, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P2C4,2130,COHANDS,COHANDS blood,Kelsey Extraction
P2C5,3045EDTA80,"EDA, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P2C6,B1690,B-cells,Purified WBC subtype,Wiencke isolation 2011/12
P2C7,Neut0612,Neutrophils,Purified WBC subtype,Wiencke isolation 2011/12
P2C8,Tpan1612,Pan-T cells,Purified WBC subtype,Wiencke isolation 2011/12
P2C9,3021CitRt,"Citrate, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P2C10,2806,COHANDS,COHANDS blood,Kelsey Extraction
P2C11,Eos2275,Eosinophils,Purified WBC subtype,Kelsey isolation 2011/12
P2C12,NKT2572,NKT cells,Purified WBC subtype,Kelsey isolation 2011/12
P2D1,Neut1147,Neutrophils,Purified WBC subtype,Wiencke isolation 2011/12
P2D2,Mono2639,Monocytes,Purified WBC subtype,Kelsey isolation 2011/12
P2D3,3177EDTA4C,"EDTA, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P2D4,B1877,B-cells,Purified WBC subtype,Wiencke isolation 2011/12
P2D5,3021Cit80,"Citrate, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P2D6,3159EDTA80,"EDA, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P2D7,3045CitFr,"Citrate, Fresh",Profiled whole blood,Wiencke isolation 2012
P2D8,3396,COHANDS,COHANDS blood,Kelsey Extraction
P2D9,NK8p2623,CD8+ NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P2D10,NKT2616,NKT cells,Purified WBC subtype,Kelsey isolation 2011/12
P2D11,2570,COHANDS,COHANDS blood,Kelsey Extraction
P2D12,3398,COHANDS,COHANDS blood,Kelsey Extraction
P2E1,3159HepRt,"Heparin, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P2E2,2240,COHANDS,COHANDS blood,Kelsey Extraction
P2E3,3699,COHANDS,COHANDS blood,Kelsey Extraction
P2E4,3045Hep80,"Heparin, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P2E5,MTpen,Moderate T-cell Lymphopenia,Reconstruction mixture,Kelsey mix May 2012
P2E6,3234,COHANDS,COHANDS blood,Kelsey Extraction
P2E7,NKpan1869,Pan-NK cells,Purified WBC subtype,Wiencke isolation 2011/12
P2E8,3177CitRt,"Citrate, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P2E9,Gran1149,Granulocytes,Purified WBC subtype,Wiencke isolation 2011/12
P2E10,NK8m2631,CD8- NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P2E11,3082HepRt,"Heparin, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P2E12,3177EDTARt,"EDTA, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P2F1,Tc2007,CD8+ T-cells,Purified WBC subtype,Wiencke isolation 2011/12
P2F2,3159CitRt,"Citrate, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P2F3,Mono1993,Monocytes,Purified WBC subtype,Wiencke isolation 2011/12
P2F4,3093Cit4C,"Citrate, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P2F5,Eos2042,Eosinophils,Purified WBC subtype,Kelsey isolation 2011/12
P2F6,3093CitRt,"Citrate, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P2F7,NKpan2510,Pan-NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P2F8,3266,COHANDS,COHANDS blood,Kelsey Extraction
P2F9,Gran1150,Granulocytes,Purified WBC subtype,Wiencke isolation 2011/12
P2F10,3021EDTA80,"EDA, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P2F11,Baso2492,Basophils,Purified WBC subtype,Kelsey isolation 2011/12
P2F12,NK8p2614,CD8+ NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P2G1,3159EDTA4C,"EDTA, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P2G2,NK16m2577,CD16- NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P2G3,3177Hep4C,"Heparin, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P2G4,Tpan1795,Pan-T cells,Purified WBC subtype,Wiencke isolation 2011/12
P2G5,3305,COHANDS,COHANDS blood,Kelsey Extraction
P2G6,3045Hep4C,"Heparin, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P2G7,Mono1827,Monocytes,Purified WBC subtype,Wiencke isolation 2011/12
P2G8,2899,COHANDS,COHANDS blood,Kelsey Extraction
P2G9,3021HepFr,"Heparin, Fresh",Profiled whole blood,Wiencke isolation 2012
P2G10,NKpan2503,Pan-NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P2G11,3159Cit80,"Citrate, o/n at -80C",Profiled whole blood,Wiencke isolation 2012
P2G12,3021Hep4C,"Heparin, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P2H1,3093EDTA4C,"EDTA, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P2H2,3082HepFr,"Heparin, Fresh",Profiled whole blood,Wiencke isolation 2012
P2H3,3566,COHANDS,COHANDS blood,Kelsey Extraction
P2H4,Gran2271,Granuloctyes,Purified WBC subtype,Kelsey isolation 2011/12
P2H5,2016,COHANDS,COHANDS blood,Kelsey Extraction
P2H6,3386,COHANDS,COHANDS blood,Kelsey Extraction
P2H7,3177Cit4C,"Citrate, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P2H8,3021EDTARt,"EDTA, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P2H9,3093Hep4C,"Heparin, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P2H10,NK16p2589,CD16+ NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P2H11,3082CitRt,"Citrate, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P2H12,Treg2280,Tregs,Purified WBC subtype,Kelsey isolation 2011/12
